ZIP,LAT,LONG
3276,43.431031,-71.575998
3278,43.30893,-71.835506
3279,43.965803,-71.859117
3280,43.190051,-72.093871
3281,43.078287,-71.703508
3282,43.858721,-71.923718
3284,43.472936,-72.013121
3285,43.947877,-71.635785
3287,43.443284,-71.922446
3290,43.129847,-71.131859
3291,43.179773,-71.14197
3293,43.979296,-71.672741
3301,43.238596,-71.556261
3303,43.311717,-71.665381
3304,43.133177,-71.537242
3307,43.333988,-71.446658
3431,42.969069,-72.301965
3440,43.063603,-71.978209
3441,42.780686,-72.447028
3442,43.020284,-71.903705
3443,42.869403,-72.466172
3444,42.889279,-72.069849
3445,43.020616,-72.214374
3446,42.858271,-72.29636
3447,42.753205,-72.153028
3448,43.041227,-72.262369
3449,42.983841,-72.001124
3450,42.948536,-72.068986
3451,42.809298,-72.504822
3452,42.829254,-72.059901
3455,42.901767,-72.172914
3456,43.138544,-72.208769
3457,42.999482,-72.121703
3458,42.868369,-71.940102
3461,42.756663,-72.013247
3462,42.892609,-72.390167
3464,43.080924,-72.11013
3465,42.828798,-72.188943
3466,42.881907,-72.508281
3467,42.968075,-72.430856
3470,42.771338,-72.354224
3561,44.343351,-71.795118
3570,44.511426,-71.197822
3574,44.260435,-71.609203
3575,44.313668,-71.402828
3576,44.896332,-71.378109
3579,44.936589,-71.04518
3580,44.163446,-71.693295
3581,44.367172,-71.087115
3582,44.565047,-71.442984
3583,44.4028,-71.456598
3584,44.49028,-71.547516
3585,44.225276,-71.90269
3586,44.21841,-71.80024
3588,44.607509,-71.237069
3590,44.715053,-71.52754
3592,45.116236,-71.26111
3593,44.301396,-71.299834
3595,44.305266,-71.497376
3597,44.744941,-71.381331
3598,44.378946,-71.628862
3601,43.245774,-72.312958
3602,43.140833,-72.347571
3603,43.247906,-72.373709
3604,43.132288,-72.389804
3605,43.236564,-72.184869
3607,43.19806,-72.262227
3608,43.076442,-72.395967
3609,43.143935,-72.446448
3740,44.182955,-71.987011
3741,43.676857,-72.007091
3743,43.360727,-72.326929
3745,43.472988,-72.311749
3748,43.603314,-72.118598
3750,43.721023,-72.185207
3751,43.4413,-72.081635
3752,43.272092,-72.101033
3753,43.51659,-72.149093
3755,43.732434,-72.139155
3765,44.035225,-72.050198
3766,43.632568,-72.234816
3768,43.816634,-72.094295
3770,43.531294,-72.258811
3771,44.296605,-71.980684
3773,43.371345,-72.202789
3774,44.099753,-71.985475
3777,43.883333,-72.033845
3779,43.961851,-72.001293
3780,44.041804,-71.990934
3781,43.560058,-72.299348
3782,43.390095,-72.093136
3784,43.638325,-72.30649
3785,44.035925,-71.846557
3801,43.074812,-70.805443
3809,43.46473,-71.200177
3810,43.51256,-71.294893
3811,42.839113,-71.167192
3812,44.08113,-71.297237
3813,44.127498,-71.060691
3814,43.770937,-71.181505
3816,43.698285,-71.243027
3817,43.888984,-71.240584
3818,43.95945,-71.274251
3819,42.944016,-71.132306
3820,43.18636,-70.883623
3823,43.174607,-70.941453
3824,43.117061,-70.918807
3825,43.215566,-71.03898
3826,42.88808,-71.129845
3827,42.903677,-70.99555
3830,43.614118,-70.993555
3832,43.90696,-71.04752
3833,42.97878,-70.97968
3835,43.366924,-71.062503
3836,43.842036,-71.075161
3837,43.422251,-71.336087
3838,44.110671,-71.223276
3839,43.268772,-70.985508
3840,43.039732,-70.845622
3841,42.878739,-71.178272
3842,42.939601,-70.836728
3844,42.924811,-70.886242
3845,44.105358,-71.115819
3846,44.18762,-71.155763
3847,44.07198,-71.123943
3848,42.913731,-71.073595
3849,43.89008,-71.132913
3850,43.698034,-71.302598
3851,43.437283,-71.025251
3852,43.495003,-70.986034
3853,43.638609,-71.29438
3854,43.062147,-70.717071
3855,43.463687,-71.15214
3856,43.038509,-70.967954
3857,43.070913,-70.946939
3858,42.870369,-71.045915
3860,44.042077,-71.122992
3861,43.119202,-71.007082
3862,42.979934,-70.829441
3864,43.689932,-71.10344
3865,42.845597,-71.09326
3867,43.301679,-70.991769
3868,43.324241,-70.940178
3869,43.219815,-70.843107
3870,43.019572,-70.760523
3871,42.980948,-70.777362
3872,43.570526,-71.043346
3873,42.934018,-71.183605
3874,42.883123,-70.860823
3875,43.903632,-71.192066
3878,43.253476,-70.887944
3882,43.746733,-71.04191
3883,43.808767,-71.320045
3884,43.275384,-71.169956
3885,43.014993,-70.902602
3886,43.864038,-71.296068
3887,43.483007,-71.070641
3890,43.81501,-71.209375
